family_id,profile_id,sessions_total,messages_total,first_session_at,last_session_at,technical_duration_mean_min,technical_duration_median_min,average_messages_per_session,average_usefulness,applied_successfully_rate,llm_fallback_sessions,calendar_span_days,llm_fallback_session_rate,dominant_category,dominant_state
02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,23,180,2026-02-04 09:37:00,2026-05-31 21:00:00,6.826086956521739,3.0,7.826086956521739,0.7291304347826086,0.5217391304347826,7,117,0.30434782608695654,apoyo_general,general_distress
02672e05-454f-4248-b090-11d67f9e316a,c35e45fa-57e7-4ea2-8dd4-56fe51ce0912,23,148,2026-02-02 13:04:00,2026-05-31 21:00:00,5.434782608695652,3.0,6.434782608695652,0.6552173913043479,0.5217391304347826,10,119,0.43478260869565216,sueno_regulacion,general_distress
02f07d98-0ba4-421d-b620-37c37723e9e5,dbab61c9-5a8b-4cd7-aa95-b924e33b3aa6,23,160,2026-03-02 19:26:00,2026-05-31 21:00:00,5.956521739130435,3.0,6.956521739130435,0.7057826086956522,0.6956521739130435,5,91,0.21739130434782608,sueno_regulacion,general_distress
03f2fa32-6c8e-489f-a286-c7f4bf6e34cc,33adc609-c3f3-4023-8411-a8d5e96da91c,23,154,2026-04-14 19:29:00,2026-05-31 21:00:00,5.695652173913044,3.0,6.695652173913044,0.6553043478260869,0.782608695652174,8,48,0.34782608695652173,transicion_rigidez,general_distress
06854ca0-83c9-4eee-adc6-b1a6c9fd8ed2,d2de0ad1-42a5-46cb-b229-879f9a874170,23,188,2026-03-25 18:04:00,2026-05-31 21:00:00,7.173913043478261,3.0,8.173913043478262,0.7094782608695652,0.6086956521739131,8,68,0.34782608695652173,apoyo_general,general_distress
072ed9fe-c0a3-43b9-b826-b59a6982bb38,1605fc27-e3e9-409d-82ea-a30ee646d5d8,23,152,2026-01-07 20:05:00,2026-05-31 21:00:00,5.608695652173913,3.0,6.608695652173913,0.6663913043478261,0.6086956521739131,10,145,0.43478260869565216,crisis_activa,general_distress
08d8cf55-b08c-453b-ba75-c8f316e258f5,433b92da-b679-4bfa-a01d-0bd32f4c15af,23,214,2026-05-19 08:03:00,2026-05-31 21:00:00,8.304347826086957,13.0,9.304347826086957,0.6889130434782609,0.6521739130434783,10,13,0.43478260869565216,crisis_activa,meltdown
09707de6-1df8-4d29-9a97-7072dc872ed8,83d3a31a-53bd-4cd9-93f1-ba0c5e9dd1ce,23,146,2026-04-08 14:50:00,2026-05-31 21:00:00,5.3478260869565215,3.0,6.3478260869565215,0.6473043478260869,0.5652173913043478,3,54,0.13043478260869565,apoyo_general,general_distress
0acf4a73-0940-4fee-8a26-9234c249ec78,f3d213d6-8024-4d85-a874-801aad21143b,23,174,2026-04-29 11:27:00,2026-05-31 21:00:00,6.565217391304348,3.0,7.565217391304348,0.6133913043478261,0.5217391304347826,8,33,0.34782608695652173,apoyo_general,general_distress
0e5bdd1d-eabe-40e8-aeed-08f55db16a62,e74cf013-3ab7-49ae-aeee-8034ec96ecc2,23,154,2026-01-10 11:17:00,2026-05-31 21:00:00,5.695652173913044,3.0,6.695652173913044,0.7206521739130435,0.6956521739130435,5,142,0.21739130434782608,disfuncion_ejecutiva,general_distress
